id,sheep.yr,age,surv,wt,wtt1,rec,rec1.wt,rec2.wt,mean.off.mass,pop.size
1234,1988,5,1,29.6,29.6,0,NA,NA,NA,457
1234,1989,6,1,29.6,NA,0,NA,NA,NA,211
1234,1990,7,1,NA,29.4,0,NA,NA,NA,290
1234,1991,8,1,29.4,28,0,NA,NA,NA,414
1234,1992,9,1,28,28.9,0,NA,NA,NA,321
1234,1993,10,1,28.9,NA,0,NA,NA,NA,443
1234,1994,11,1,NA,27.8,0,NA,NA,NA,435
1234,1995,12,1,27.8,26.1,0,NA,NA,NA,357
1234,1996,13,1,26.1,NA,0,NA,NA,NA,575
1242,1986,3,1,26.5,NA,1,NA,NA,NA,211
1242,1987,4,1,NA,29.2,2,15.2,15.3,15.25,331
1242,1988,5,1,29.2,NA,0,NA,NA,NA,457
1242,1989,6,1,NA,28.5,2,NA,NA,NA,211
1242,1990,7,1,28.5,27.9,1,12.8,NA,12.8,290
1242,1991,8,1,27.9,27.7,0,NA,NA,NA,414
1242,1992,9,1,27.7,25.8,1,11.5,NA,11.5,321
1242,1993,10,1,25.8,25.3,1,9.7,NA,9.7,443
1242,1994,11,0,25.3,NA,0,NA,NA,NA,435
1243,1986,3,1,NA,22.5,0,NA,NA,NA,211
1243,1987,4,1,22.5,NA,0,NA,NA,NA,331
1243,1988,5,1,NA,NA,0,NA,NA,NA,457
1243,1989,6,1,NA,24.1,0,NA,NA,NA,211
1243,1990,7,1,24.1,22.5,0,NA,NA,NA,290
1243,1991,8,0,22.5,NA,0,NA,NA,NA,414
1244,1986,3,1,NA,22.8,0,NA,NA,NA,211
1244,1987,4,1,22.8,23.8,0,NA,NA,NA,331
1244,1988,5,1,23.8,NA,1,NA,NA,NA,457
1244,1989,6,1,NA,NA,1,NA,NA,NA,211
1244,1990,7,1,NA,23.4,1,NA,NA,NA,290
1244,1991,8,1,23.4,21.6,0,NA,NA,NA,414
1244,1992,9,1,21.6,NA,0,NA,NA,NA,321
1244,1993,10,1,NA,NA,1,NA,NA,NA,443
